"INTEGRATIONNAME"~|~"ARCHIVENAME"~|~"PROGRAMNAME"~|~"ARTIFACTTYPE"~|~"ATTRIBUTENAME"
"ADI_AutoEncoder_Translation_Service"~|~"ADI_AutoEncoder_Translation_Service.ear"~|~"MRL"~|~"BW"~|~"SharedServices/ErrorHandling/JMS/JNDIContextURL"
"ADI_AutoEncoder_Translation_Service"~|~"ADI_AutoEncoder_Translation_Service.ear"~|~"MRL"~|~"BW"~|~"SharedServices/ErrorHandling/JMS/JNDIPassword"
"ADI_AutoEncoder_Translation_Service"~|~"ADI_AutoEncoder_Translation_Service.ear"~|~"MRL"~|~"BW"~|~"SharedServices/ErrorHandling/JMS/JNDIUserName"
"ADI_AutoEncoder_Translation_Service"~|~"ADI_AutoEncoder_Translation_Service.ear"~|~"MRL"~|~"BW"~|~"SharedServices/ErrorHandling/JMS/Password"
"ADI_AutoEncoder_Translation_Service"~|~"ADI_AutoEncoder_Translation_Service.ear"~|~"MRL"~|~"BW"~|~"SharedServices/ErrorHandling/JMS/Username"
"ADI_AutoEncoder_Translation_Service"~|~"ADI_AutoEncoder_Translation_Service.ear"~|~"MRL"~|~"BW"~|~"SharedServices/ErrorHandling/RetryCount"
"ADI_AutoEncoder_Translation_Service"~|~"ADI_AutoEncoder_Translation_Service.ear"~|~"MRL"~|~"BW"~|~"SharedServices/ErrorHandling/RetryTimer-Min"
"ADI_AutoEncoder_Translation_Service"~|~"ADI_AutoEncoder_Translation_Service.ear"~|~"MRL"~|~"BW"~|~"SharedServices/ErrorHandling/Type"
"ADI_AutoEncoder_Translation_Service"~|~"ADI_AutoEncoder_Translation_Service.ear"~|~"MRL"~|~"BW"~|~"SharedServices/Logging/ComponentVersion"
"ADI_AutoEncoder_Translation_Service"~|~"ADI_AutoEncoder_Translation_Service.ear"~|~"MRL"~|~"BW"~|~"SharedServices/Logging/Environment"
"ADI_AutoEncoder_Translation_Service"~|~"ADI_AutoEncoder_Translation_Service.ear"~|~"MRL"~|~"BW"~|~"SharedServices/Logging/Level"
"ADI_AutoEncoder_Translation_Service"~|~"ADI_AutoEncoder_Translation_Service.ear"~|~"MRL"~|~"BW"~|~"SharedServices/Logging/Location"
"ADI_AutoEncoder_Translation_Service"~|~"ADI_AutoEncoder_Translation_Service.ear"~|~"MRL"~|~"BW"~|~"SharedServices/Logging/Maxsize"
"ADI_AutoEncoder_Translation_Service"~|~"ADI_AutoEncoder_Translation_Service.ear"~|~"MRL"~|~"BW"~|~"SharedServices/Logging/NASMountPath"
"ADI_AutoEncoder_Translation_Service"~|~"ADI_AutoEncoder_Translation_Service.ear"~|~"MRL"~|~"BW"~|~"SharedServices/Logging/Project"
"ADI_AutoEncoder_Translation_Service"~|~"ADI_AutoEncoder_Translation_Service.ear"~|~"MRL"~|~"BW"~|~"TIBHawkDaemon"
"ADI_AutoEncoder_Translation_Service"~|~"ADI_AutoEncoder_Translation_Service.ear"~|~"MRL"~|~"BW"~|~"TIBHawkNetwork"
"ADI_AutoEncoder_Translation_Service"~|~"ADI_AutoEncoder_Translation_Service.ear"~|~"MRL"~|~"BW"~|~"TIBHawkService"
"ADI_AutoEncoder_Translation_Service"~|~"ADI_AutoEncoder_Translation_Service.ear"~|~"MRL"~|~"BW"~|~"contact"
